编码 预测值 真实值
2139 9 9
2140 9 9
2141 4 4
2142 9 9
2143 3 3
2144 8 8
2145 7 7
2146 8 8
2147 5 5
2148 9 9
2149 3 3
2150 8 8
2151 9 9
2152 1 1
2153 4 4
2154 1 1
2155 9 9
2156 8 8
2157 5 5
2158 8 8
2159 8 8
2160 9 9
2161 1 1
2162 8 8
2163 6 6
2164 9 9
2165 8 8
2166 8 8
2167 2 2
2168 6 6
2169 2 2
2170 2 2
2171 6 6
2172 9 9
2173 2 2
2174 9 9
2175 3 3
2176 9 9
2177 1 1
2178 9 9
2179 8 8
2180 8 8
2181 2 2
2182 8 8
2183 9 9
2184 6 6
2185 9 9
2186 8 8
2187 8 8
2188 9 9
2189 2 1
2190 9 9
2191 9 9
2192 9 9
2193 8 8
2194 7 7
2195 5 5
2196 9 9
2197 8 8
2198 8 8
2199 9 9
2200 9 9
2201 8 8
2202 8 8
2203 8 8
2204 4 4
2205 8 8
2206 6 6
2207 9 9
2208 2 2
2209 9 9
2210 9 9
2211 4 4
2212 7 7
2213 9 9
2214 1 1
2215 9 9
2216 5 5
2217 2 2
2218 7 9
2219 7 7
2220 8 8
2221 6 6
2222 9 9
2223 2 2
2224 4 4
2225 9 9
2226 9 9
2227 9 9
2228 1 1
2229 5 5
2230 5 5
2231 8 8
2232 5 5
2233 2 2
2234 8 8
2235 8 8
2236 9 9
2237 9 9
2238 9 9
2239 8 8
2240 9 9
2241 8 8
2242 4 4
2243 9 9
2244 8 8
2245 6 6
2246 5 5
2247 6 6
2248 1 1
2249 2 2
2250 9 9
2251 3 3
2252 9 9
2253 9 9
2254 4 4
2255 8 8
2256 2 2
2257 8 8
2258 5 5
2259 9 9
2260 9 9
2261 9 9
2262 8 8
2263 4 4
2264 9 9
2265 8 8
2266 3 3
2267 9 9
2268 9 9
2269 9 9
2270 8 8
2271 8 8
2272 3 9
2273 9 9
2274 6 6
2275 2 2
2276 9 9
2277 9 9
2278 8 8
2279 9 9
2280 9 9
2281 9 9
2282 9 9
2283 8 8
2284 8 8
2285 8 8
2286 8 8
2287 5 5
2288 9 9
2289 8 8
2290 9 9
2291 5 5
2292 9 9
2293 9 9
2294 8 8
2295 8 8
2296 5 5
2297 9 9
2298 8 8
2299 8 8
2300 8 8
2301 1 2
2302 8 8
2303 7 7
2304 3 3
2305 6 6
2306 9 9
2307 9 9
2308 8 8
2309 9 9
2310 9 9
2311 1 1
2312 8 8
2313 9 9
2314 9 9
2315 7 7
2316 9 9
2317 7 7
2318 5 5
2319 9 9
2320 9 9
2321 7 7
2322 9 9
2323 3 3
2324 2 1
2325 5 5
2326 8 8
2327 8 8
2328 9 8
2329 9 9
2330 2 3
2331 1 1
2332 8 8
2333 8 8
2334 9 9
2335 5 5
2336 1 5
2337 3 3
2338 9 9
2339 9 9
2340 1 1
2341 7 7
2342 7 7
2343 9 9
2344 8 8
2345 6 6
2346 2 2
2347 9 9
2348 1 1
2349 5 5
2350 9 9
2351 1 1
2352 4 4
2353 9 9
2354 8 8
2355 7 7
2356 9 9
2357 7 7
2358 4 4
2359 3 3
2360 7 7
2361 1 1
2362 8 8
2363 7 7
2364 1 2
2365 8 8
2366 8 8
2367 5 5
2368 5 5
2369 9 9
2370 3 3
2371 1 2
2372 5 5
2373 9 9
2374 9 9
2375 9 9
2376 9 9
2377 1 1
2378 7 7
2379 1 1
2380 9 9
2381 1 1
2382 1 1
2383 3 2
2384 1 2
2385 6 6
2386 9 9
2387 9 9
2388 9 9
2389 9 9
2390 5 5
2391 8 8
2392 8 8
2393 9 9
2394 8 8
2395 9 9
2396 9 9
2397 8 8
2398 5 5
2399 9 9
2400 5 1
2401 8 8
2402 9 9
2403 9 9
2404 9 9
2405 6 6
2406 5 9
2407 7 6
2408 3 3
2409 9 9
2410 8 8
2411 8 9
2412 5 5
2413 7 7
2414 8 9
2415 9 9
2416 5 5
2417 2 2
2418 9 9
2419 3 3
2420 4 4
2421 9 9
2422 5 5
2423 8 8
2424 9 9
2425 8 8
2426 9 9
2427 7 8
2428 7 7
2429 4 4
2430 8 8
2431 6 6
2432 8 8
2433 5 5
2434 8 8
2435 6 6
2436 5 5
2437 9 9
2438 9 9
2439 9 9
2440 8 8
2441 9 9
2442 7 7
2443 9 9
2444 1 1
2445 9 9
2446 5 5
2447 5 5
2448 8 8
2449 5 5
2450 9 9
2451 8 8
2452 9 9
2453 1 2
2454 8 8
2455 1 1
2456 9 9
2457 9 9
2458 6 6
2459 5 5
2460 9 9
2461 9 9
2462 9 9
2463 3 3
2464 9 9
2465 9 9
2466 8 8
2467 9 9
2468 9 9
2469 9 9
2470 9 9
2471 9 9
2472 9 9
2473 8 8
2474 9 9
2475 8 8
2476 9 9
2477 4 4
2478 9 9
2479 6 6
2480 5 5
2481 8 3
2482 3 3
2483 9 9
2484 5 5
2485 9 9
2486 1 1
2487 9 9
2488 3 3
2489 6 6
2490 6 6
2491 6 6
2492 4 4
2493 5 5
2494 8 8
2495 5 5
2496 2 2
2497 9 9
2498 5 5
2499 8 8
2500 9 9
2501 9 9
2502 5 3
2503 9 9
2504 8 8
2505 9 9
2506 3 3
2507 8 8
2508 8 8
2509 9 9
2510 8 8
2511 8 8
2512 8 8
2513 2 2
2514 6 6
2515 5 5
2516 9 9
2517 2 2
2518 5 5
2519 4 4
2520 3 3
2521 1 3
2522 9 9
2523 4 4
2524 3 3
2525 9 9
2526 9 9
2527 9 9
2528 9 9
2529 8 8
2530 7 7
2531 1 1
2532 9 9
2533 9 9
2534 5 5
2535 8 8
2536 8 8
2537 8 8
2538 1 1
2539 9 9
2540 9 9
2541 8 8
2542 4 4
2543 8 8
2544 9 9
2545 9 9
2546 8 8
2547 3 3
2548 9 9
2549 3 1
2550 8 8
2551 9 9
2552 9 9
2553 5 5
2554 7 7
2555 8 8
2556 9 9
2557 9 9
2558 7 7
2559 8 8
2560 7 7
2561 2 2
2562 3 9
2563 8 8
2564 9 9
2565 5 5
2566 9 9
2567 8 8
2568 9 9
2569 9 9
2570 5 5
2571 9 9
2572 8 8
2573 2 2
2574 8 8
2575 2 1
2576 2 1
2577 7 7
2578 4 4
2579 5 5
2580 6 6
2581 7 7
2582 2 1
2583 8 8
2584 8 8
2585 6 6
2586 7 7
2587 9 9
2588 9 9
2589 5 5
2590 3 3
2591 7 7
2592 4 4
2593 9 9
2594 9 9
2595 9 9
2596 5 5
2597 9 9
2598 9 9
2599 8 8
2600 9 9
2601 8 8
2602 9 9
2603 5 5
2604 9 9
2605 9 9
2606 9 9
2607 8 8
2608 8 8
2609 2 1
2610 9 9
2611 5 5
2612 6 6
2613 9 9
2614 3 3
2615 8 8
2616 4 4
2617 7 7
2618 5 5
2619 8 8
2620 8 8
2621 9 9
2622 7 7
2623 9 9
2624 8 8
2625 9 9
2626 9 9
2627 2 2
2628 8 8
2629 9 9
2630 5 5
2631 8 8
2632 1 2
2633 9 9
2634 9 9
2635 1 1
2636 8 8
2637 9 9
2638 9 9
2639 6 6
2640 9 9
2641 9 9
2642 9 9
2643 6 6
2644 9 9
2645 9 9
2646 8 8
2647 4 4
2648 5 5
2649 8 8
2650 9 9
2651 8 8
2652 9 9
2653 7 7
2654 9 9
2655 9 9
2656 8 8
2657 6 6
2658 8 8
2659 5 5
2660 6 6
2661 8 8
2662 9 9
2663 8 8
2664 2 1
2665 3 3
2666 9 9
2667 9 9
2668 8 8
2669 4 4
2670 9 9
2671 9 9
2672 7 7
2673 9 9
2674 4 4
2675 9 9
2676 9 9
2677 9 9
2678 8 8
2679 9 9
2680 8 8
2681 9 9
2682 9 9
2683 5 5
2684 9 9
2685 7 7
2686 1 1
2687 9 9
2688 8 8
2689 5 5
2690 9 9
2691 9 9
2692 6 6
2693 4 4
2694 7 7
2695 9 9
2696 9 9
2697 8 8
2698 7 3
2699 2 2
2700 8 8
2701 3 3
2702 9 9
2703 9 9
2704 8 8
2705 8 8
2706 9 9
2707 9 9
2708 9 9
2709 5 5
2710 9 9
2711 7 7
2712 9 9
2713 7 7
2714 9 9
2715 8 8
2716 9 9
2717 1 1
2718 9 9
2719 8 8
2720 7 7
2721 1 5
2722 8 8
2723 8 8
2724 1 1
2725 2 2
2726 5 5
2727 5 5
2728 9 9
2729 5 5
2730 5 5
2731 9 9
2732 9 8
2733 1 1
2734 8 8
2735 8 8
2736 5 5
2737 9 9
2738 8 8
2739 8 8
2740 4 4
2741 1 1
2742 8 8
2743 8 8
2744 4 4
2745 5 5
2746 9 9
2747 8 8
2748 8 8
2749 8 8
2750 8 8
2751 8 8
2752 8 8
2753 9 9
2754 8 8
2755 3 3
2756 9 9
2757 9 9
2758 6 6
2759 5 5
2760 9 9
2761 9 9
2762 9 9
2763 9 9
2764 9 9
2765 8 8
2766 9 9
2767 8 8
2768 8 8
2769 8 8
2770 7 7
2771 9 9
2772 3 3
2773 9 9
2774 8 8
2775 8 9
2776 9 9
2777 2 2
2778 9 9
2779 1 1
2780 8 8
2781 9 9
2782 2 2
2783 8 8
2784 9 9
2785 3 3
2786 8 8
2787 9 9
2788 3 3
2789 3 3
2790 3 3
2791 5 5
2792 7 7
2793 6 6
2794 9 9
2795 1 1
2796 9 9
2797 6 6
2798 8 8
2799 6 6
2800 8 8
2801 8 5
2802 7 7
2803 9 9
2804 9 9
2805 9 9
2806 9 9
2807 7 7
2808 9 9
2809 9 9
2810 8 8
2811 5 5
2812 6 6
2813 8 8
2814 5 5
2815 5 5
2816 2 2
2817 4 4
2818 5 5
2819 9 9
2820 9 9
2821 4 4
2822 7 7
2823 5 5
2824 5 5
2825 9 9
2826 1 1
2827 9 9
2828 5 5
2829 8 8
2830 3 3
2831 9 9
2832 9 9
2833 7 7
2834 8 8
2835 5 5
2836 9 9
2837 9 9
2838 5 5
2839 9 9
2840 5 5
2841 9 9
2842 9 9
2843 8 8
2844 8 8
2845 2 2
2846 1 3
2847 5 5
2848 6 6
2849 9 9
2850 9 9
2851 1 1
2852 9 9
2853 2 2
2854 5 5
2855 1 2
2856 9 9
2857 4 4
2858 3 3
2859 4 4
2860 9 9
2861 2 2
2862 9 9
2863 8 8
2864 9 9
2865 8 8
2866 9 9
2867 9 9
2868 5 5
2869 2 2
2870 9 9
2871 8 8
2872 2 1
2873 1 1
2874 1 2
2875 2 2
2876 6 6
2877 9 9
2878 5 5
2879 3 3
2880 8 8
2881 9 9
2882 2 2
2883 6 6
2884 2 2
2885 4 4
2886 1 1
2887 9 9
2888 9 9
2889 8 8
2890 9 9
2891 2 2
2892 9 9
2893 8 8
2894 1 2
2895 7 7
2896 7 7
2897 9 9
2898 5 5
2899 9 9
2900 6 6
2901 8 8
2902 4 4
2903 8 8
2904 9 9
2905 8 8
2906 8 8
2907 9 9
2908 8 8
2909 8 8
2910 8 8
2911 9 9
2912 7 7
2913 9 9
2914 9 9
2915 3 3
2916 8 8
2917 8 8
2918 8 8
2919 5 5
2920 8 8
2921 7 7
2922 1 1
2923 9 9
2924 2 1
2925 9 9
2926 4 4
2927 2 1
2928 9 9
2929 8 8
2930 2 2
2931 9 9
2932 8 8
2933 8 9
2934 7 7
2935 3 3
2936 8 8
2937 8 8
2938 8 8
2939 7 7
2940 6 7
2941 9 9
2942 6 6
2943 9 9
2944 9 3
2945 5 5
2946 8 8
2947 9 9
2948 1 1
2949 9 9
2950 7 7
2951 9 9
2952 5 5
2953 6 6
2954 8 8
2955 5 5
2956 8 8
2957 9 9
2958 9 9
2959 3 1
2960 9 9
2961 9 9
2962 8 8
2963 2 2
2964 9 9
2965 8 7
2966 8 8
2967 9 9
2968 5 5
2969 9 9
2970 2 2
2971 5 5
2972 8 8
2973 9 9
2974 7 7
2975 9 9
2976 4 4
2977 5 5
2978 2 3
2979 8 8
2980 2 2
2981 8 8
2982 8 8
2983 9 9
2984 9 9
2985 9 9
2986 9 9
2987 8 8
2988 5 5
2989 9 9
2990 9 9
2991 8 8
2992 8 8
2993 9 9
2994 9 9
2995 1 1
2996 5 5
2997 9 9
2998 8 8
2999 8 8
3000 8 8
3001 4 4
3002 3 3
3003 9 9
3004 8 8
3005 5 5
3006 9 9
3007 4 4
3008 6 6
3009 9 9
3010 7 7
3011 9 9
3012 8 8
3013 9 9
3014 9 9
3015 9 9
3016 5 5
3017 8 8
3018 9 9
3019 9 9
3020 4 4
3021 8 8
3022 5 5
3023 5 5
3024 5 5
3025 9 9
3026 2 2
3027 7 7
3028 7 7
3029 5 5
3030 9 9
3031 8 8
3032 9 9
3033 8 8
3034 9 9
3035 8 8
3036 9 9
3037 8 8
3038 3 3
3039 7 7
3040 5 5
3041 5 5
3042 5 5
3043 8 8
3044 8 8
3045 2 2
3046 8 8
3047 3 3
3048 2 1
3049 2 1
3050 2 2
3051 3 3
3052 2 2
3053 9 9
3054 3 3
3055 9 9
3056 9 9
3057 9 9
3058 9 9
3059 9 9
3060 8 8
3061 9 9
3062 4 4
3063 9 9
3064 6 6
3065 8 8
3066 8 8
3067 8 8
3068 5 5
3069 5 5
3070 9 9
3071 8 8
3072 9 9
3073 5 5
3074 9 9
3075 9 9
3076 9 9
3077 7 7
3078 5 5
3079 9 9
3080 9 9
3081 8 8
3082 5 5
3083 9 9
3084 1 1
3085 8 8
3086 5 5
3087 8 8
3088 9 9
3089 8 8
3090 9 9
3091 5 5
3092 9 9
3093 8 8
3094 5 5
3095 5 5
3096 3 3
3097 8 8
3098 9 9
3099 7 7
3100 8 8
3101 9 9
3102 9 9
3103 2 2
3104 8 8
3105 4 4
3106 8 8
3107 5 5
3108 7 7
3109 9 9
3110 8 8
